"Number of Children","Number of Adults 1","Number of Adults 2","Left First?","Selected Option"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"1","1","3","True","Rechts"
"2","1","5","False","Rechts"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","False","Links"
"0","0","1","True","Rechts"
"0","2","4","False","Rechts"
"0","1","2","True","Links"
"1","1","3","False","Rechts"
"0","2","0","True","Links"
"0","2","0","False","Links"
"2","1","5","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"2","1","5","False","Links"
"1","1","3","True","Rechts"
"0","2","4","False","Rechts"
"0","1","2","True","Links"
"0","2","0","False","Links"
"0","2","0","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","4","False","Links"
"0","1","2","True","Links"
"2","1","5","False","Links"
"0","2","0","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","4","True","Links"
"2","1","5","False","Rechts"
"0","1","2","True","Links"
"1","1","3","False","Rechts"
"0","2","0","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"1","1","3","False","Rechts"
"0","1","2","True","Rechts"
"2","1","5","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","4","True","Rechts"
"0","2","0","False","Links"
"2","1","5","True","Links"
"0","2","0","False","Rechts"
"0","1","2","True","Links"
"1","1","3","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"1","1","3","False","Links"
"2","1","5","True","Links"
"0","2","4","False","Links"
"0","2","0","True","Links"
"0","1","2","False","Rechts"
"0","2","0","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","2","4","False","Rechts"
"2","1","5","True","Links"
"0","2","0","False","Links"
"0","1","2","True","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Rechts"
"2","1","5","True","Links"
"0","1","2","False","Rechts"
"1","1","3","True","Rechts"
"0","2","0","False","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","1","2","False","Links"
"2","1","5","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"2","1","5","True","Links"
"0","2","4","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","1","2","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"2","1","5","True","Rechts"
"0","1","2","False","Rechts"
"0","2","0","True","Links"
"1","1","3","False","Rechts"
"0","2","0","True","Links"
"0","2","4","False","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"1","1","3","False","Rechts"
"0","2","0","True","Rechts"
"2","1","5","False","Rechts"
"0","2","4","True","Links"
"0","1","2","False","Links"
"0","2","0","True","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Rechts"
"2","1","5","False","Links"
"0","1","2","True","Rechts"
"0","2","4","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"2","1","5","True","Links"
"0","2","4","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","4","False","Links"
"0","1","2","True","Rechts"
"0","2","0","False","Links"
"2","1","5","True","Links"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Links"
"0","1","2","False","Links"
"0","2","4","True","Rechts"
"2","1","5","False","Rechts"
"1","1","3","True","Rechts"
"0","2","0","False","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Links"
"2","1","5","True","Rechts"
"1","1","3","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"2","1","5","True","Links"
"0","2","0","False","Links"
"1","1","3","True","Rechts"
"0","2","0","False","Rechts"
"0","2","4","True","Rechts"
"0","1","2","False","Links"
"0","1","5","True","Rechts"
"0","0","1","False","Links"
"0","2","0","True","Links"
"0","1","2","False","Links"
"2","1","5","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Links"
"0","2","4","False","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","4","True","Links"
"2","1","5","False","Rechts"
"1","1","3","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Links"
"0","1","2","False","Links"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"2","1","5","True","Links"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Links"
"0","1","2","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","1","2","True","Rechts"
"1","1","3","False","Rechts"
"0","2","0","True","Links"
"0","2","4","False","Links"
"2","1","5","True","Links"
"0","2","0","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"0","2","0","True","Links"
"0","2","4","False","Links"
"0","2","0","True","Rechts"
"1","1","3","False","Links"
"0","1","2","True","Links"
"2","1","5","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"2","1","5","False","Rechts"
"0","2","4","True","Links"
"0","1","2","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","2","0","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","1","2","False","Links"
"0","2","0","True","Rechts"
"0","2","0","False","Rechts"
"2","1","5","True","Rechts"
"0","2","4","False","Rechts"
"1","1","3","True","Rechts"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","2","4","True","Rechts"
"2","1","5","False","Links"
"0","2","0","True","Rechts"
"0","1","2","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","1","2","False","Links"
"0","2","0","True","Links"
"2","1","5","False","Links"
"1","1","3","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","4","True","Links"
"2","1","5","False","Rechts"
"1","1","3","True","Links"
"0","2","0","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"0","1","2","True","Links"
"2","1","5","False","Rechts"
"0","2","0","True","Links"
"0","2","0","False","Rechts"
"0","2","4","True","Rechts"
"1","1","3","False","Links"
"0","1","5","False","Links"
"0","0","1","True","Links"
"0","2","0","False","Links"
"2","1","5","True","Rechts"
"0","1","2","False","Rechts"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","1","2","False","Rechts"
"0","2","0","True","Links"
"0","2","4","False","Links"
"0","2","0","True","Links"
"1","1","3","False","Links"
"2","1","5","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Links"
"0","1","2","False","Links"
"2","1","5","True","Links"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"2","1","5","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","1","2","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","0","False","Links"
"1","1","3","True","Rechts"
"0","1","2","False","Links"
"2","1","5","True","Rechts"
"0","2","4","False","Rechts"
"0","2","0","True","Rechts"
"0","1","5","True","Rechts"
"0","0","1","False","Links"
"0","2","0","True","Rechts"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"1","1","3","False","Rechts"
"0","1","2","True","Rechts"
"2","1","5","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"1","1","3","True","Links"
"2","1","5","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Rechts"
"0","1","2","True","Links"
"0","2","0","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"2","1","5","False","Rechts"
"1","1","3","True","Links"
"0","2","4","False","Links"
"0","2","0","True","Rechts"
"0","2","0","False","Links"
"0","1","2","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Links"
"1","1","3","False","Rechts"
"2","1","5","True","Rechts"
"0","2","4","False","Links"
"0","1","2","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","0","False","Rechts"
"2","1","5","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Links"
"1","1","3","False","Links"
"0","1","2","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","0","False","Rechts"
"0","2","4","True","Links"
"1","1","3","False","Rechts"
"0","1","2","True","Links"
"2","1","5","False","Links"
"0","2","0","True","Links"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"0","2","0","True","Rechts"
"0","1","2","False","Rechts"
"0","2","4","True","Rechts"
"1","1","3","False","Rechts"
"2","1","5","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Rechts"
"0","2","0","False","Rechts"
"0","1","2","True","Links"
"2","1","5","False","Links"
"0","2","4","True","Rechts"
"1","1","3","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Links"
"1","1","3","False","Links"
"0","1","2","True","Links"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"2","1","5","False","Links"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","2","0","True","Links"
"0","2","0","False","Links"
"0","1","2","True","Rechts"
"0","2","4","False","Links"
"2","1","5","True","Rechts"
"1","1","3","False","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","4","False","Rechts"
"1","1","3","True","Links"
"0","1","2","False","Rechts"
"0","2","0","True","Links"
"2","1","5","False","Links"
"0","2","0","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","1","2","True","Links"
"2","1","5","False","Links"
"0","2","4","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"0","2","0","True","Links"
"2","1","5","False","Rechts"
"0","1","2","True","Links"
"0","2","4","False","Rechts"
"1","1","3","True","Links"
"0","2","0","False","Links"
"0","1","5","False","Links"
"0","0","1","True","Links"
"2","1","5","False","Links"
"0","2","4","True","Links"
"1","1","3","False","Links"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"0","2","0","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Links"
"1","1","3","False","Links"
"2","1","5","True","Links"
"0","1","2","False","Links"
"0","2","0","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","1","2","True","Rechts"
"1","1","3","False","Links"
"0","2","0","True","Links"
"0","2","4","False","Links"
"2","1","5","True","Links"
"0","2","0","False","Rechts"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"0","1","2","True","Links"
"0","2","0","False","Rechts"
"0","2","0","True","Rechts"
"2","1","5","False","Links"
"1","1","3","True","Rechts"
"0","2","4","False","Rechts"
"0","1","5","False","Links"
"0","0","1","True","Links"
"0","2","0","False","Links"
"2","1","5","True","Links"
"0","2","0","False","Rechts"
"1","1","3","True","Rechts"
"0","2","4","False","Links"
"0","1","2","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","0","False","Rechts"
"0","2","0","True","Links"
"0","2","4","False","Links"
"1","1","3","True","Links"
"0","1","2","False","Links"
"2","1","5","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"0","2","0","True","Rechts"
"1","1","3","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Links"
"0","1","2","True","Links"
"2","1","5","False","Links"
"0","1","5","False","Links"
"0","0","1","True","Links"
"0","2","0","False","Rechts"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"0","1","2","True","Rechts"
"1","1","3","False","Rechts"
"2","1","5","True","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"0","2","0","False","Rechts"
"0","1","2","True","Links"
"1","1","3","False","Rechts"
"0","2","0","True","Rechts"
"0","2","4","False","Links"
"2","1","5","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Rechts"
"0","1","2","False","Rechts"
"2","1","5","True","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"1","1","3","True","Links"
"0","2","0","False","Links"
"0","2","4","True","Links"
"2","1","5","False","Links"
"0","1","2","True","Links"
"0","2","0","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"1","1","3","True","Links"
"0","2","4","False","Rechts"
"0","1","2","True","Links"
"0","2","0","False","Links"
"2","1","5","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","False","Rechts"
"0","0","1","True","Rechts"
"2","1","5","False","Links"
"0","1","2","True","Rechts"
"1","1","3","False","Links"
"0","2","0","True","Rechts"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","4","False","Rechts"
"0","2","0","True","Links"
"0","2","0","False","Rechts"
"1","1","3","True","Rechts"
"0","1","2","False","Rechts"
"2","1","5","True","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"0","2","4","False","Links"
"0","2","0","True","Links"
"1","1","3","False","Links"
"0","1","2","True","Rechts"
"0","2","0","False","Rechts"
"2","1","5","True","Links"
"0","1","5","True","Rechts"
"0","0","1","False","Rechts"
"2","1","5","True","Rechts"
"0","2","4","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Links"
"0","2","0","True","Links"
"1","1","3","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Links"
"0","1","2","True","Links"
"1","1","3","False","Rechts"
"2","1","5","True","Rechts"
"0","2","4","False","Links"
"0","2","0","True","Rechts"
"0","2","0","False","Rechts"
"0","1","5","True","Links"
"0","0","1","False","Rechts"
"0","1","2","True","Rechts"
"0","2","0","False","Links"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"2","1","5","True","Links"
"1","1","3","False","Links"
"0","1","5","False","Rechts"
"0","0","1","True","Links"
"2","1","5","False","Rechts"
"0","2","4","True","Rechts"
"0","2","0","False","Rechts"
"1","1","3","True","Rechts"
"0","1","2","False","Links"
"0","2","0","True","Links"
